iter	Passed	Remaining
0	184	3687766
1	366	3660585
2	531	3542275
3	615	3074892
4	769	3075432
5	906	3022103
6	1047	2990764
7	1179	2947749
8	1323	2940543
9	1469	2936901
10	1613	2931951
11	1758	2929358
12	1907	2932763
13	2049	2925290
14	2195	2924912
15	2340	2922913
16	2484	2920408
17	2628	2917478
18	2768	2911936
19	2902	2899725
20	3034	2886691
21	3168	2877625
22	3320	2884273
23	3469	2887626
24	3612	2886383
25	3749	2880674
26	3892	2879210
27	4032	2876104
28	4169	2871627
29	4310	2869128
30	4453	2868642
31	4596	2868461
32	4743	2870252
33	4875	2862833
34	5003	2854282
35	5138	2849401
36	5273	2845025
37	5410	2842307
38	5553	2842512
39	5695	2842003
40	5836	2841190
41	5976	2840170
42	6116	2838585
43	6268	2842905
44	6419	2846858
45	6560	2846001
46	6707	2847424
47	6850	2847373
48	6998	2849500
49	7136	2847506
50	7276	2846304
51	7417	2845297
52	7556	2843806
53	7694	2842152
54	7843	2844183
55	7981	2842647
56	8118	2840486
57	8258	2839532
58	8402	2839809
59	8542	2839049
60	8684	2838775
61	8831	2840008
62	8979	2841700
63	9124	2842289
64	9275	2844640
65	9416	2844065
66	9558	2843591
67	9699	2843077
68	9837	2841722
69	9972	2839343
70	10111	2838104
71	10263	2840692
72	10406	2840786
73	10548	2840422
74	10689	2839836
75	10831	2839537
76	10979	2840719
77	11125	2841540
78	11268	2841605
79	11407	2840470
80	11543	2838675
81	11682	2837626
82	11818	2836097
83	11957	2835181
84	12098	2834560
85	12243	2834997
86	12386	2835011
87	12521	2833329
88	12655	2831281
89	12789	2829300
90	12922	2827249
91	13062	2826652
92	13201	2825746
93	13343	2825754
94	13487	2825988
95	13628	2825728
96	13770	2825571
97	13910	2825061
98	14057	2825880
99	14199	2825766
100	14342	2825824
101	14490	2826765
102	14633	2826768
103	14770	2825643
104	14902	2823617
105	15032	2821312
106	15167	2819802
107	15307	2819338
108	15448	2819194
109	15594	2819679
110	15744	2821170
111	15882	2820354
112	16022	2819855
113	16159	2818851
114	16310	2820296
115	16448	2819466
116	16590	2819358
117	16726	2818190
118	16858	2816579
119	16990	2814767
120	17134	2815051
121	17280	2815626
122	17419	2815061
123	17558	2814490
124	17703	2814884
125	17845	2814763
126	17986	2814560
127	18130	2814733
128	18269	2814231
129	18413	2814426
130	18553	2813997
131	18695	2814026
132	18848	2815549
133	18990	2815485
134	19135	2815797
135	19282	2816422
136	19436	2818031
137	19585	2818902
138	19735	2819930
139	19886	2821013
140	20037	2822132
141	20187	2823067
142	20338	2824142
143	20475	2823398
144	20612	2822483
145	20747	2821341
146	20885	2820728
147	21025	2820250
148	21174	2820992
149	21317	2821012
150	21461	2821108
151	21603	2820958
152	21749	2821316
153	21895	2821733
154	22045	2822562
155	22195	2823398
156	22340	2823640
157	22485	2823817
158	22621	2822871
159	22763	2822702
160	22903	2822303
161	23040	2821483
162	23192	2822526
163	23341	2823161
164	23490	2823878
165	23639	2824464
166	23784	2824618
167	23929	2824782
168	24078	2825391
169	24229	2826288
170	24375	2826505
171	24509	2825450
172	24644	2824401
173	24776	2823052
174	24912	2822183
175	25045	2821046
176	25187	2820889
177	25335	2821305
178	25487	2822252
179	25634	2822615
180	25785	2823457
181	25933	2823934
182	26084	2824635
183	26231	2825021
184	26379	2825433
185	26528	2825976
186	26677	2826561
187	26819	2826344
188	26955	2825442
189	27090	2824591
190	27241	2825276
191	27387	2825501
192	27534	2825767
193	27683	2826287
194	27821	2825625
195	27956	2824726
196	28094	2824131
197	28245	2824852
198	28388	2824739
199	28533	2824790
200	28681	2825236
201	28822	2824902
202	28961	2824344
203	29101	2823969
204	29257	2825115
205	29403	2825347
206	29549	2825471
207	29700	2826116
208	29845	2826193
209	29981	2825406
210	30119	2824827
211	30262	2824732
212	30408	2824890
213	30555	2825101
214	30705	2825598
215	30848	2825468
216	30994	2825635
217	31133	2825127
218	31279	2825254
219	31424	2825322
220	31571	2825586
221	31707	2824822
222	31853	2824920
223	31997	2824879
224	32140	2824822
225	32289	2825221
226	32442	2825953
227	32589	2826177
228	32739	2826628
229	32887	2826869
230	33031	2826870
231	33182	2827339
232	33324	2827123
233	33459	2826302
234	33593	2825388
235	33730	2824783
236	33867	2824136
237	34010	2824005
238	34161	2824547
239	34306	2824554
240	34451	2824566
241	34598	2824781
242	34740	2824589
243	34884	2824532
244	35030	2824612
245	35181	2825081
246	35330	2825438
247	35472	2825221
248	35610	2824654
249	35751	2824372
250	35897	2824449
251	36039	2824204
252	36188	2824551
253	36337	2824866
254	36482	2824877
255	36629	2825014
256	36775	2825105
257	36921	2825231
258	37061	2824854
259	37201	2824416
260	37344	2824322
261	37483	2823864
262	37618	2823099
263	37756	2822604
264	37894	2822082
265	38030	2821394
266	38177	2821592
267	38328	2821980
268	38474	2822054
269	38618	2821975
270	38768	2822373
271	38920	2822863
272	39068	2823099
273	39213	2823063
274	39366	2823622
275	39512	2823741
276	39665	2824298
277	39808	2824127
278	39948	2823739
279	40094	2823787
280	40242	2823960
281	40392	2824309
282	40541	2824578
283	40682	2824286
284	40827	2824235
285	40971	2824193
286	41125	2824760
287	41275	2825089
288	41427	2825509
289	41576	2825796
290	41727	2826112
291	41876	2826371
292	42026	2826675
293	42182	2827363
294	42330	2827564
295	42472	2827313
296	42613	2826986
297	42760	2827051
298	42904	2826980
299	43053	2827180
300	43202	2827389
301	43350	2827533
302	43494	2827447
303	43638	2827302
304	43785	2827389
305	43935	2827670
306	44084	2827849
307	44227	2827675
308	44375	2827832
309	44527	2828208
310	44673	2828193
311	44812	2827792
312	44959	2827873
313	45109	2828102
314	45261	2828455
315	45408	2828553
316	45562	2829022
317	45702	2828694
318	45847	2828603
319	45993	2828623
320	46149	2829194
321	46299	2829454
322	46446	2829513
323	46593	2829578
324	46736	2829364
325	46875	2828901
326	47023	2829049
327	47173	2829244
328	47322	2829410
329	47471	2829606
330	47619	2829698
331	47760	2829400
332	47900	2828998
333	48046	2828978
334	48203	2829619
335	48358	2830140
336	48508	2830342
337	48660	2830648
338	48810	2830874
339	48955	2830752
340	49104	2830906
341	49254	2831123
342	49396	2830869
343	49532	2830282
344	49669	2829717
345	49807	2829261
346	49947	2828863
347	50095	2828955
348	50246	2829207
349	50401	2829707
350	50548	2829716
351	50694	2829648
352	50839	2829600
353	50988	2829717
354	51136	2829789
355	51282	2829781
356	51431	2829889
357	51572	2829584
358	51710	2829113
359	51851	2828768
360	51998	2828779
361	52150	2829106
362	52299	2829234
363	52451	2829516
364	52604	2829834
365	52751	2829847
366	52901	2830007
367	53043	2829781
368	53186	2829539
369	53322	2828966
370	53467	2828864
371	53612	2828769
372	53754	2828534
373	53892	2828074
374	54033	2827770
375	54182	2827841
376	54333	2828066
377	54489	2828542
378	54645	2829022
379	54794	2829113
380	54941	2829128
381	55089	2829169
382	55242	2829480
383	55390	2829528
384	55541	2829741
385	55692	2829940
386	55837	2829818
387	55973	2829278
388	56124	2829448
389	56269	2829369
390	56412	2829149
391	56552	2828770
392	56689	2828252
393	56832	2828045
394	56974	2827834
395	57119	2827726
396	57270	2827870
397	57425	2828278
398	57576	2828473
399	57735	2829038
400	57890	2829395
401	58038	2829461
402	58179	2829116
403	58320	2828838
404	58467	2828794
405	58611	2828668
406	58755	2828485
407	58899	2828307
408	59051	2828534
409	59201	2828685
410	59346	2828572
411	59495	2828630
412	59646	2828799
413	59793	2828798
414	59948	2829123
415	60102	2829459
416	60254	2829645
417	60405	2829799
418	60561	2830204
419	60705	2830016
420	60850	2829896
421	60997	2829870
422	61145	2829889
423	61295	2830015
424	61447	2830209
425	61606	2830702
426	61751	2830610
427	61891	2830212
428	62044	2830494
429	62195	2830605
430	62350	2830964
431	62501	2831067
432	62649	2831090
433	62799	2831208
434	62942	2830958
435	63093	2831107
436	63245	2831268
437	63396	2831431
438	63537	2831115
439	63680	2830876
440	63828	2830877
441	63973	2830762
442	64123	2830823
443	64277	2831101
444	64432	2831389
445	64582	2831487
446	64734	2831675
447	64877	2831436
448	65031	2831677
449	65182	2831803
450	65328	2831707
451	65474	2831622
452	65619	2831478
453	65761	2831224
454	65904	2830989
455	66055	2831124
456	66204	2831139
457	66355	2831245
458	66511	2831612
459	66664	2831794
460	66815	2831912
461	66970	2832195
462	67117	2832145
463	67261	2831924
464	67403	2831673
465	67548	2831533
466	67694	2831424
467	67838	2831250
468	67987	2831256
469	68139	2831412
470	68294	2831694
471	68442	2831651
472	68594	2831815
473	68746	2831944
474	68900	2832165
475	69049	2832175
476	69198	2832211
477	69345	2832156
478	69487	2831869
479	69627	2831530
480	69774	2831439
481	69925	2831538
482	70082	2831869
483	70231	2831892
484	70382	2831988
485	70531	2832005
486	70690	2832409
487	70842	2832537
488	70992	2832593
489	71135	2832340
490	71275	2832018
491	71421	2831877
492	71568	2831814
493	71705	2831358
494	71851	2831241
495	72005	2831443
496	72154	2831455
497	72310	2831722
498	72461	2831809
499	72608	2831748
500	72759	2831812
501	72914	2832046
502	73065	2832120
503	73216	2832213
504	73369	2832337
505	73518	2832367
506	73659	2832049
507	73799	2831697
508	73946	2831615
509	74095	2831623
510	74246	2831671
511	74391	2831514
512	74536	2831355
513	74680	2831162
514	74821	2830853
515	74972	2830924
516	75124	2831034
517	75271	2830966
518	75419	2830912
519	75568	2830902
520	75706	2830479
521	75844	2830084
522	75994	2830106
523	76143	2830092
524	76295	2830203
525	76435	2829855
526	76570	2829331
527	76716	2829219
528	76855	2828848
529	77005	2828860
530	77153	2828809
531	77305	2828924
532	77458	2829057
533	77603	2828895
534	77749	2828767
535	77897	2828725
536	78047	2828764
537	78188	2828462
538	78326	2828053
539	78467	2827739
540	78606	2827379
541	78739	2826789
542	78878	2826413
543	79022	2826207
544	79166	2826018
545	79313	2825953
546	79461	2825907
547	79614	2826039
548	79763	2825994
549	79908	2825858
550	80055	2825783
551	80197	2825492
552	80332	2825013
553	80477	2824846
554	80614	2824418
555	80754	2824082
556	80892	2823700
557	81039	2823591
558	81184	2823461
559	81329	2823293
560	81475	2823161
561	81619	2823003
562	81765	2822859
563	81906	2822584
564	82050	2822389
565	82191	2822096
566	82333	2821860
567	82471	2821443
568	82609	2821069
569	82750	2820789
570	82895	2820612
571	83041	2820511
572	83185	2820335
573	83334	2820310
574	83490	2820538
575	83641	2820590
576	83794	2820706
577	83942	2820657
578	84082	2820333
579	84225	2820114
580	84373	2820063
581	84518	2819888
582	84653	2819411
583	84795	2819157
584	84945	2819187
585	85090	2819030
586	85237	2818951
587	85382	2818783
588	85529	2818711
589	85681	2818782
590	85829	2818728
591	85995	2819263
592	86144	2819237
593	86294	2819256
594	86452	2819522
595	86601	2819491
596	86740	2819141
597	86880	2818815
598	87026	2818683
599	87173	2818613
600	87316	2818382
601	87453	2817974
602	87596	2817755
603	87738	2817502
604	87877	2817159
605	88020	2816953
606	88167	2816861
607	88314	2816773
608	88463	2816740
609	88612	2816712
610	88758	2816582
611	88904	2816476
612	89051	2816387
613	89195	2816194
614	89338	2815987
615	89477	2815631
616	89614	2815223
617	89747	2814714
618	89897	2814706
619	90040	2814506
620	90182	2814233
621	90330	2814180
622	90481	2814228
623	90629	2814167
624	90774	2813998
625	90923	2813988
626	91060	2813591
627	91198	2813226
628	91336	2812832
629	91479	2812643
630	91619	2812314
631	91752	2811812
632	91898	2811685
633	92042	2811518
634	92189	2811405
635	92334	2811266
636	92479	2811117
637	92631	2811166
638	92770	2810854
639	92916	2810732
640	93062	2810600
641	93205	2810389
642	93342	2810003
643	93476	2809531
644	93619	2809301
645	93758	2808980
646	93900	2808749
647	94044	2808564
648	94190	2808432
649	94335	2808286
650	94481	2808161
651	94626	2808026
652	94780	2808151
653	94921	2807882
654	95056	2807437
655	95188	2806908
656	95324	2806479
657	95460	2806086
658	95598	2805722
659	95735	2805352
660	95879	2805163
661	96020	2804895
662	96164	2804725
663	96303	2804410
664	96448	2804257
665	96592	2804079
666	96736	2803905
667	96882	2803800
668	97025	2803594
669	97169	2803426
670	97315	2803297
671	97463	2803235
672	97610	2803156
673	97752	2802922
674	97906	2803015
675	98047	2802767
676	98186	2802447
677	98325	2802139
678	98457	2801613
679	98591	2801171
680	98728	2800780
681	98876	2800726
682	99020	2800565
683	99168	2800497
684	99308	2800211
685	99448	2799927
686	99595	2799831
687	99736	2799570
688	99881	2799436
689	100031	2799443
690	100179	2799385
691	100331	2799412
